,date,acc_cases,daily_cases,cases_7dma
0,2022-04-29,60,60,17
1,2022-04-30,179,119,34
2,2022-05-01,418,239,68
3,2022-05-02,896,478,135
4,2022-05-03,1851,955,271
5,2022-05-04,3761,1910,542
6,2022-05-05,7581,3820,1083
7,2022-05-06,15222,7641,2166
8,2022-05-07,30503,15281,4332
9,2022-05-08,61065,30562,8664
10,2022-05-09,122189,61124,17328
11,2022-05-10,244438,122249,34655
12,2022-05-11,488936,244498,69311
13,2022-05-12,506936,18000,71336
14,2022-05-13,524380,17444,72737
15,2022-05-14,820560,296180,112865
16,2022-05-15,1213490,392930,164632
17,2022-05-16,1483000,269510,194402
