,date,acc_cases,daily_cases,cases_7dma
0,2021-12-31,19,19,13
1,2022-01-01,37,18,12
2,2022-01-02,63,26,15
3,2022-01-03,92,29,18
4,2022-01-04,131,39,22
5,2022-01-05,169,38,26
6,2022-01-06,202,33,29
7,2022-01-07,235,33,31
8,2022-01-08,272,37,34
9,2022-01-09,305,33,35
10,2022-01-10,329,24,34
11,2022-01-11,350,21,31
12,2022-01-12,372,22,29
13,2022-01-13,386,14,26
14,2022-01-14,395,9,23
15,2022-01-15,400,5,18
16,2022-01-16,411,11,15
17,2022-01-17,418,7,13
18,2022-01-18,436,18,12
19,2022-01-19,452,16,11
20,2022-01-20,466,14,11
21,2022-01-21,490,24,14
22,2022-01-22,516,26,17
23,2022-01-23,656,140,35
24,2022-01-24,765,109,50
25,2022-01-25,889,124,65
26,2022-01-26,996,107,78
27,2022-01-27,1160,164,99
28,2022-01-28,1275,115,112
29,2022-01-29,1394,119,125
30,2022-01-30,1475,81,117
31,2022-01-31,1567,92,115
32,2022-02-01,1696,129,115
33,2022-02-02,1812,116,117
34,2022-02-03,1954,142,113
35,2022-02-04,2085,131,116
36,2022-02-05,2436,351,149
37,2022-02-06,2778,342,186
38,2022-02-07,3392,614,261
39,2022-02-08,4017,625,332
40,2022-02-09,5178,1161,481
41,2022-02-10,6164,986,601
42,2022-02-11,7489,1325,772
43,2022-02-12,9003,1514,938
44,2022-02-13,10350,1347,1082
45,2022-02-14,12421,2071,1290
46,2022-02-15,14040,1619,1432
47,2022-02-16,18325,4285,1878
48,2022-02-17,24441,6116,2611
49,2022-02-18,28070,3629,2940
50,2022-02-19,34133,6063,3590
51,2022-02-20,40200,6067,4264
52,2022-02-21,47733,7533,5045
53,2022-02-22,53944,6211,5701
54,2022-02-23,62618,8674,6328
55,2022-02-24,71416,8798,6711
56,2022-02-25,81426,10010,7622
57,2022-02-26,155960,74534,17404
58,2022-02-27,206936,50976,23819
59,2022-02-28,263114,56178,30769
60,2022-03-01,318772,55658,37833
61,2022-03-02,395113,76341,47499
62,2022-03-03,472104,76991,57241
63,2022-03-04,544786,72682,66194
64,2022-03-05,612369,67583,65201
65,2022-03-06,652170,39801,63605
66,2022-03-07,688565,36395,60779
67,2022-03-08,727316,38751,58363
68,2022-03-09,757777,30461,51809
69,2022-03-10,789179,31402,45296
70,2022-03-11,818560,29381,39111
71,2022-03-12,846207,27647,33405
72,2022-03-13,878637,32430,32352
73,2022-03-14,905545,26908,30997
74,2022-03-15,933310,27765,29428
75,2022-03-16,962582,29272,29258
76,2022-03-17,984232,21650,27865
77,2022-03-18,1004314,20082,26536
78,2022-03-19,1020911,16597,24958
79,2022-03-20,1035060,14149,22346
80,2022-03-21,1049128,14068,20512
81,2022-03-22,1063280,14152,18567
82,2022-03-23,1075520,12240,16134
83,2022-03-24,1088594,13074,14909
84,2022-03-25,1098999,10405,13526
85,2022-03-26,1107840,8841,12418
86,2022-03-27,1115877,8037,11545
87,2022-03-28,1123562,7685,10633
88,2022-03-29,1131158,7596,9697
89,2022-03-30,1138139,6981,8946
90,2022-03-31,1144785,6646,8027
91,2022-04-01,1150608,5823,7373
92,2022-04-02,1155083,4475,6749
93,2022-04-03,1158792,3709,6131
94,2022-04-04,1161930,3138,5481
95,2022-04-05,1165184,3254,4861
96,2022-04-06,1167961,2777,4260
97,2022-04-07,1170605,2644,3689
98,2022-04-08,1173097,2492,3213
99,2022-04-09,1175632,2535,2936
100,2022-04-10,1177553,1921,2680
101,2022-04-11,1178960,1407,2433
102,2022-04-12,1180393,1433,2173
103,2022-04-13,1181665,1272,1958
104,2022-04-14,1182708,1043,1729
105,2022-04-15,1183654,946,1508
106,2022-04-16,1184448,794,1259
107,2022-04-17,1185195,747,1092
108,2022-04-18,1185808,613,978
109,2022-04-19,1186408,600,859
110,2022-04-20,1187076,668,773
111,2022-04-21,1187704,628,714
112,2022-04-22,1188278,574,661
113,2022-04-23,1188801,523,622
114,2022-04-24,1189230,429,576
115,2022-04-25,1189661,431,550
116,2022-04-26,1190008,347,514
117,2022-04-27,1190438,430,480
118,2022-04-28,1190851,413,450
119,2022-04-29,1191217,366,420
120,2022-04-30,1191580,363,397
121,2022-05-01,1191880,300,379
122,2022-05-02,1192163,283,357
123,2022-05-03,1192453,290,349
124,2022-05-04,1192766,313,333
125,2022-05-05,1193087,321,319
126,2022-05-06,1193411,324,313
127,2022-05-07,1193689,278,301
128,2022-05-08,1193955,266,296
129,2022-05-09,1194188,233,289
130,2022-05-10,1194461,273,287
131,2022-05-11,1194741,280,282
132,2022-05-12,1195035,294,278
133,2022-05-13,1195333,298,275
134,2022-05-14,1195617,284,275
135,2022-05-15,1195876,259,274
136,2022-05-16,1196110,234,275
137,2022-05-17,1196438,328,282
