,date,acc_cases,daily_cases,cases_7dma
0,2021-12-22,24,24,15.571428571428571
1,2021-12-23,57,33,18.428571428571427
2,2021-12-24,83,26,20.0
3,2021-12-25,105,22,21.142857142857142
4,2021-12-26,135,30,23.571428571428573
5,2021-12-27,146,11,24.714285714285715
6,2021-12-28,197,51,28.142857142857142
7,2021-12-29,258,61,33.42857142857143
8,2021-12-30,310,52,36.142857142857146
9,2021-12-31,388,78,43.57142857142857
10,2022-01-01,458,70,50.42857142857143
11,2022-01-02,515,57,54.285714285714285
12,2022-01-03,594,79,64.0
13,2022-01-04,718,124,74.42857142857143
14,2022-01-05,962,244,100.57142857142857
15,2022-01-06,1467,505,165.28571428571428
16,2022-01-07,2143,676,250.71428571428572
17,2022-01-08,3029,886,367.2857142857143
18,2022-01-09,3909,880,484.85714285714283
19,2022-01-10,4404,495,544.2857142857143
20,2022-01-11,5017,613,614.1428571428571
21,2022-01-12,6728,1711,823.7142857142857
22,2022-01-13,9180,2452,1101.857142857143
23,2022-01-14,12006,2826,1409.0
24,2022-01-15,15698,3692,1809.857142857143
25,2022-01-16,19458,3760,2221.285714285714
26,2022-01-17,22007,2549,2514.714285714286
27,2022-01-18,27403,5396,3198.0
28,2022-01-19,33503,6100,3825.0
29,2022-01-20,39435,5932,4322.142857142857
30,2022-01-21,45689,6254,4811.857142857143
31,2022-01-22,53062,7373,5337.714285714285
32,2022-01-23,59281,6219,5689.0
33,2022-01-24,64084,4803,6011.0
34,2022-01-25,72696,8612,6470.428571428572
35,2022-01-26,82506,9810,7000.428571428572
36,2022-01-27,92217,9711,7540.285714285715
37,2022-01-28,102229,10012,8077.142857142857
38,2022-01-29,112612,10383,8507.142857142857
39,2022-01-30,121747,9135,8923.714285714286
40,2022-01-31,127955,6208,9124.42857142857
41,2022-02-01,139836,11881,9591.42857142857
42,2022-02-02,151006,11170,9785.714285714286
43,2022-02-03,170621,19615,11200.57142857143
44,2022-02-04,184178,13557,11707.0
45,2022-02-05,196480,12302,11981.142857142857
46,2022-02-06,209805,13325,12579.714285714286
47,2022-02-07,218113,8308,12879.714285714286
48,2022-02-08,238722,20609,14126.57142857143
49,2022-02-09,253983,15261,14711.0
50,2022-02-10,266810,12827,13741.285714285714
51,2022-02-11,282111,15301,13990.42857142857
52,2022-02-12,288857,6746,13196.714285714286
53,2022-02-13,301431,12574,13089.42857142857
54,2022-02-14,309427,7996,13044.857142857143
55,2022-02-15,322024,12597,11900.285714285714
56,2022-02-16,334491,12467,11501.142857142857
57,2022-02-17,348398,13907,11655.42857142857
58,2022-02-18,359897,11499,11112.285714285714
59,2022-02-19,372348,12451,11927.285714285714
60,2022-02-20,380748,8400,11331.0
61,2022-02-21,385449,4701,10860.285714285714
62,2022-02-22,396388,10939,10623.42857142857
63,2022-02-23,407859,11471,10481.142857142857
64,2022-02-24,413516,5657,9302.57142857143
65,2022-02-25,422043,8527,8878.0
66,2022-02-26,432450,10407,8586.0
67,2022-02-27,439150,6700,8343.142857142857
68,2022-02-28,443781,4631,8333.142857142857
69,2022-03-01,452741,8960,8050.428571428572
70,2022-03-02,461954,9213,7727.857142857143
71,2022-03-03,469703,7749,8026.714285714285
72,2022-03-04,476390,6687,7763.857142857143
73,2022-03-05,483525,7135,7296.428571428572
74,2022-03-06,488950,5425,7114.285714285715
75,2022-03-07,490986,2036,6743.571428571428
76,2022-03-08,497494,6508,6393.285714285715
77,2022-03-09,504565,7071,6087.285714285715
78,2022-03-10,510879,6314,5882.285714285715
79,2022-03-11,515838,4959,5635.428571428572
80,2022-03-12,521411,5573,5412.285714285715
81,2022-03-13,526300,4889,5335.714285714285
82,2022-03-14,527767,1467,5254.428571428572
83,2022-03-15,533740,5973,5178.0
84,2022-03-16,539479,5739,4987.714285714285
85,2022-03-17,544480,5001,4800.142857142857
86,2022-03-18,548338,3858,4642.857142857143
87,2022-03-19,551977,3639,4366.571428571428
88,2022-03-20,554879,2902,4082.714285714286
89,2022-03-21,556510,1631,4106.142857142857
90,2022-03-22,557508,998,3395.4285714285716
91,2022-03-23,562291,4783,3258.8571428571427
92,2022-03-24,566773,4482,3184.714285714286
93,2022-03-25,570550,3777,3173.1428571428573
94,2022-03-26,574195,3645,3174.0
95,2022-03-27,577679,3484,3257.1428571428573
96,2022-03-28,578819,1140,3187.0
97,2022-03-29,583157,4338,3664.1428571428573
98,2022-03-30,587673,4516,3626.0
99,2022-03-31,591407,3734,3519.1428571428573
100,2022-04-01,595077,3670,3503.8571428571427
101,2022-04-02,598743,3666,3506.8571428571427
102,2022-04-03,602503,3760,3546.285714285714
103,2022-04-04,603742,1239,3560.4285714285716
104,2022-04-05,608089,4347,3561.714285714286
105,2022-04-06,612985,4896,3616.0
106,2022-04-07,617658,4673,3750.1428571428573
107,2022-04-08,621566,3908,3784.1428571428573
108,2022-04-09,625766,4200,3860.4285714285716
109,2022-04-10,629416,3650,3844.714285714286
110,2022-04-11,630865,1449,3874.714285714286
111,2022-04-12,635916,5051,3975.285714285714
112,2022-04-13,641037,5121,4007.4285714285716
113,2022-04-14,645351,4314,3956.1428571428573
114,2022-04-15,649041,3690,3925.0
115,2022-04-16,652685,3644,3845.5714285714284
116,2022-04-17,655392,2707,3710.8571428571427
117,2022-04-18,656339,947,3639.1428571428573
118,2022-04-19,660158,3819,3463.1428571428573
119,2022-04-20,664093,3935,3293.714285714286
120,2022-04-21,667657,3564,3186.5714285714284
121,2022-04-22,670503,2846,3066.0
122,2022-04-23,673616,3113,2990.1428571428573
123,2022-04-24,676349,2733,2993.8571428571427
124,2022-04-25,677311,962,2996.0
125,2022-04-26,681277,3966,3017.0
126,2022-04-27,684973,3696,2982.8571428571427
127,2022-04-28,688015,3042,2908.285714285714
