,date,acc_cases,daily_cases,cases_7dma
0,2022-05-13,70959,70959,70959
1,2022-05-14,154404,83445,77202
2,2022-05-15,356582,202178,118861
3,2022-05-16,428953,72371,107238
4,2022-05-17,474500,45547,94900
5,2022-05-18,515780,41280,85963
6,2022-05-19,561102,45322,80157
7,2022-05-20,595908,34806,74993
8,2022-05-21,626098,30190,67385
9,2022-05-22,647468,21370,41555
10,2022-05-23,667560,20092,34087
11,2022-05-24,683912,16352,29916
12,2022-05-25,700201,16289,26346
13,2022-05-26,712663,12462,21652
14,2022-05-29,721947,9284,18006
15,2022-05-30,727768,5821,14524
16,2022-05-31,731462,3694,11999
17,2022-06-01,733031,1569,9353
18,2022-06-02,736062,3031,7450
19,2022-06-03,738978,2916,5540
