,date,acc_cases,daily_cases,cases_7dma
0,2022-02-26,55,55,52.285714285714285
1,2022-02-27,111,56,55.714285714285715
2,2022-02-28,166,55,58.857142857142854
3,2022-03-01,222,56,58.714285714285715
4,2022-03-02,288,66,63.57142857142857
5,2022-03-03,368,80,63.285714285714285
6,2022-03-04,421,53,60.142857142857146
7,2022-03-05,484,63,61.285714285714285
8,2022-03-06,580,96,67.0
9,2022-03-07,722,142,79.42857142857143
10,2022-03-08,823,101,85.85714285714286
11,2022-03-09,961,138,96.14285714285714
12,2022-03-10,1078,117,101.42857142857143
13,2022-03-11,1192,114,110.14285714285714
14,2022-03-12,1271,79,112.42857142857143
15,2022-03-13,1456,185,125.14285714285714
16,2022-03-14,1610,154,126.85714285714286
17,2022-03-15,1823,213,142.85714285714286
18,2022-03-16,2001,178,148.57142857142858
19,2022-03-17,2273,272,170.71428571428572
20,2022-03-18,2665,392,210.42857142857142
21,2022-03-19,3175,510,272.0
22,2022-03-20,3952,777,356.57142857142856
23,2022-03-21,4858,906,464.0
24,2022-03-22,5853,995,575.7142857142857
25,2022-03-23,6849,996,692.5714285714286
26,2022-03-24,8475,1626,886.0
27,2022-03-25,10750,2275,1155.0
28,2022-03-26,13434,2684,1465.5714285714287
29,2022-03-27,16948,3514,1856.5714285714287
30,2022-03-28,21416,4468,2365.4285714285716
31,2022-03-29,27385,5969,3076.0
32,2022-03-30,33026,5641,3739.5714285714284
33,2022-03-31,37516,4490,4148.714285714285
34,2022-04-01,43827,6311,4725.285714285715
35,2022-04-02,51987,8160,5507.571428571428
36,2022-04-03,60934,8947,6283.714285714285
37,2022-04-04,74289,13355,7553.285714285715
38,2022-04-05,91331,17042,9135.142857142857
39,2022-04-06,111306,19975,11182.857142857143
40,2022-04-07,132212,20906,13528.0
41,2022-04-08,155420,23208,15941.857142857143
42,2022-04-09,180183,24763,18313.714285714286
43,2022-04-10,206226,26043,20756.0
44,2022-04-11,229300,23074,22144.428571428572
45,2022-04-12,255608,26308,23468.14285714286
46,2022-04-13,283214,27606,24558.285714285714
47,2022-04-14,305980,22766,24824.0
48,2022-04-15,328577,22597,24736.714285714286
49,2022-04-16,352222,23645,24577.0
50,2022-04-17,373620,21398,23913.428571428572
51,2022-04-18,393064,19444,23394.85714285714
52,2022-04-19,411434,18370,22260.85714285714
53,2022-04-20,429473,18039,20894.14285714286
54,2022-04-21,446959,17486,20139.85714285714
55,2022-04-22,469210,22251,20090.428571428572
56,2022-04-23,489727,20517,19643.571428571428
57,2022-04-24,508078,18351,19208.285714285714
58,2022-04-25,524090,16012,18718.0
59,2022-04-26,536399,12309,17852.14285714286
60,2022-04-27,546163,9764,16670.0
61,2022-04-28,556137,9974,15596.857142857143
62,2022-04-29,565334,9197,13732.0
