天数,日期,浦东,黄浦,静安,徐汇,长宁,普陀,虹口,杨浦,宝山,闵行,嘉定,金山,松江,青浦,奉贤,崇明,浦东_累计,浦东_7日平均,黄浦_累计,黄浦_7日平均,静安_累计,静安_7日平均,徐汇_累计,徐汇_7日平均,长宁_累计,长宁_7日平均,普陀_累计,普陀_7日平均,虹口_累计,虹口_7日平均,杨浦_累计,杨浦_7日平均,宝山_累计,宝山_7日平均,闵行_累计,闵行_7日平均,嘉定_累计,嘉定_7日平均,金山_累计,金山_7日平均,松江_累计,松江_7日平均,青浦_累计,青浦_7日平均,奉贤_累计,奉贤_7日平均,崇明_累计,崇明_7日平均
29,2022-03-27,1424,57,69,280,46,71,27,35,94,616,252,14,190,43,45,237,5162,640,649,67,476,53,1409,158,245,28,395,39,251,24,158,16,639,70,3629,423,1306,132,115,8,626,69,175,18,242,28,538,71
30,2022-03-28,2502,282,96,91,115,81,6,49,312,362,209,19,93,56,115,68,7664,973,931,100,572,60,1500,152,360,41,476,46,257,22,207,22,951,105,3991,457,1515,147,134,8,719,77,231,25,357,41,606,75
31,2022-03-29,2184,112,179,1084,36,111,73,98,360,981,251,26,234,84,95,56,9848,1251,1043,108,751,82,2584,295,396,43,587,59,330,31,305,36,1311,154,4972,554,1766,167,160,12,953,106,315,34,452,54,662,81
32,2022-03-30,2200,363,100,399,124,146,84,99,507,778,159,33,247,76,127,195,12048,1535,1406,157,851,89,2983,336,520,59,733,75,414,39,404,48,1818,217,5750,629,1925,180,193,16,1200,136,391,44,579,70,857,101
33,2022-03-31,2404,123,162,222,257,16,125,172,17,383,53,42,189,97,177,43,14452,1850,1529,160,1013,102,3205,344,777,87,749,72,539,53,576,70,1835,207,6133,614,1978,169,235,20,1389,150,488,56,756,92,900,95
34,2022-04-01,2597,250,189,629,38,248,60,134,45,1028,201,50,507,87,162,84,17049,1948,1779,192,1202,129,3834,434,815,92,997,106,599,61,710,87,1880,213,7161,731,2179,195,285,27,1896,220,575,66,918,115,984,101
35,2022-04-02,2047,655,324,1028,96,385,339,272,474,806,609,61,569,224,156,108,19096,2194,2434,263,1526,160,4862,533,911,102,1382,151,938,102,982,123,2354,258,7967,708,2788,248,346,35,2465,290,799,95,1074,125,1092,113
36,2022-04-03,3659,826,340,491,105,325,187,372,453,912,419,102,260,219,121,144,22755,2513,3260,373,1866,199,5353,563,1016,110,1707,187,1125,125,1354,171,2807,310,8879,750,3207,272,448,48,2725,300,1018,120,1195,136,1236,100
37,2022-04-04,6990,983,60,1230,39,259,608,225,269,1380,247,52,569,320,70,49,29745,3154,4243,473,1926,193,6583,726,1055,99,1966,213,1733,211,1579,196,3076,304,10259,895,3454,277,500,52,3294,368,1338,158,1265,130,1285,97
38,2022-04-05,8048,660,316,922,91,488,410,625,554,2931,485,82,796,400,153,76,37793,3992,4903,551,2242,213,7505,703,1146,107,2454,267,2143,259,2204,271,3630,331,13190,1174,3939,310,582,60,4090,448,1738,203,1418,138,1361,100
39,2022-04-06,8438,1050,542,1103,358,1036,670,633,662,2407,1407,79,783,469,267,63,46231,4883,5953,650,2784,276,8608,804,1504,141,3490,394,2813,343,2837,348,4292,353,15597,1407,5346,489,661,67,4873,525,2207,259,1685,158,1424,81
40,2022-04-07,8985,1374,366,2039,836,953,576,580,412,2222,916,57,742,491,90,260,55216,5823,7327,828,3150,305,10647,1063,2340,223,4443,528,3389,407,3417,406,4704,410,17819,1669,6262,612,718,69,5615,604,2698,316,1775,146,1684,112
41,2022-04-08,7254,2566,663,1592,607,1083,364,694,2766,2813,1406,47,756,334,88,171,62470,6489,9893,1159,3813,373,12239,1201,2947,305,5526,647,3753,451,4111,486,7470,799,20632,1924,7668,784,765,69,6371,639,3032,351,1863,135,1855,124
42,2022-04-09,11068,539,598,1136,837,650,365,1056,2231,4527,365,47,491,551,114,177,73538,7777,10432,1143,4411,412,13375,1216,3784,410,6176,685,4118,454,5167,598,9701,1050,25159,2456,8033,749,812,67,6862,628,3583,398,1977,129,2032,134
43,2022-04-10,6707,1774,606,3151,426,999,1278,1843,1824,3146,1382,58,1827,880,85,54,80245,8213,12206,1278,5017,450,16526,1596,4210,456,7175,781,5396,610,7010,808,11525,1245,28305,2775,9415,887,870,60,8689,852,4463,492,2062,124,2086,121
44,2022-04-11,8243,2203,541,1740,382,1857,1368,1402,980,2988,199,35,686,327,64,54,88488,8392,14409,1452,5558,519,18266,1669,4592,505,9032,1009,6764,719,8412,976,12505,1347,31293,3005,9614,880,905,58,9375,869,4790,493,2126,123,2140,122
45,2022-04-12,11047,1803,1054,1107,1133,1169,931,1159,295,4242,975,39,711,523,33,86,99535,8820,16212,1616,6612,624,19373,1695,5725,654,10201,1107,7695,793,9571,1052,12800,1310,35535,3192,10589,950,944,52,10086,857,5313,511,2159,106,2226,124
46,2022-04-13,15026,1397,220,1491,957,473,1487,1185,650,2896,713,34,652,278,83,63,114561,9761,17609,1665,6832,578,20864,1751,6682,740,10674,1026,9182,910,10756,1131,13450,1308,38431,3262,11302,851,978,45,10738,838,5591,483,2242,80,2289,124
47,2022-04-14,11578,2009,266,1221,998,264,930,816,415,2377,705,28,761,304,34,59,126139,10132,19618,1756,7098,564,22085,1634,7680,763,10938,928,10112,960,11572,1165,13865,1309,40808,3284,12007,821,1006,41,11499,841,5895,457,2276,72,2348,95
48,2022-04-15,10264,1378,432,1520,617,425,1312,1264,1270,1839,735,31,773,535,106,90,136403,10562,20996,1586,7530,531,23605,1624,8297,764,11363,834,11424,1096,12836,1246,15135,1095,42647,3145,12742,725,1037,39,12272,843,6430,485,2382,74,2438,83
49,2022-04-16,10315,1559,1134,1531,703,1330,1027,859,1289,2411,663,16,409,303,48,46,146718,10454,22555,1732,8664,608,25136,1680,9000,745,12693,931,12451,1190,13695,1218,16424,960,45058,2843,13405,767,1053,34,12681,831,6733,450,2430,65,2484,65
50,2022-04-17,7718,1890,839,1446,739,979,1057,882,1442,2364,674,23,902,368,20,52,154436,10599,24445,1748,9503,641,26582,1437,9739,790,13672,928,13508,1159,14577,1081,17866,906,47422,2731,14079,666,1076,29,13583,699,7101,377,2450,55,2536,64
51,2022-04-18,8443,3318,1007,555,571,370,1009,475,930,1207,584,7,695,234,13,24,162879,10627,27763,1908,10510,707,27137,1267,10310,817,14042,716,14517,1108,15052,949,18796,899,48629,2477,14663,721,1083,25,14278,700,7335,364,2463,48,2560,60
52,2022-04-19,5451,2988,1723,1605,605,512,739,730,955,1491,719,8,324,385,58,75,168330,9828,30751,2077,12233,803,28742,1338,10915,741,14554,622,15256,1080,15782,887,19751,993,50120,2084,15382,685,1091,21,14602,645,7720,344,2521,52,2635,58
53,2022-04-20,4310,3062,1104,1392,716,544,825,1982,822,1660,628,18,654,224,31,64,172640,8297,33813,2315,13337,929,30134,1324,11631,707,15098,632,16081,986,17764,1001,20573,1018,51780,1907,16010,673,1109,19,15256,645,7944,336,2552,44,2699,59
54,2022-04-21,4641,1727,2063,1289,495,487,884,542,975,2563,776,24,493,382,30,115,177281,7306,35540,2275,15400,1186,31423,1334,12126,635,15585,664,16965,979,18306,962,21548,1098,54343,1934,16786,683,1133,18,15749,607,8326,347,2582,44,2814,67
55,2022-04-22,7779,2583,782,1196,637,492,683,1350,1976,1213,492,26,2565,357,7,112,185060,6951,38123,2447,16182,1236,32619,1288,12763,638,16077,673,17648,889,19656,974,23524,1198,55556,1844,17278,648,1159,17,18314,863,8683,322,2589,30,2926,70
56,2022-04-23,7290,1906,469,1715,676,469,788,1272,2884,847,741,44,771,423,15,207,192350,6519,40029,2496,16651,1141,34334,1314,13439,634,16546,550,18436,855,20928,1033,26408,1426,56403,1621,18019,659,1203,21,19085,915,9106,339,2604,25,3133,93
57,2022-04-24,5838,1613,1673,1295,738,472,650,1215,2496,1186,598,68,417,248,7,95,198188,6250,41642,2457,18324,1260,35629,1292,14177,634,17018,478,19086,797,22143,1081,28904,1577,57589,1452,18617,648,1271,28,19502,846,9354,322,2611,23,3228,99
58,2022-04-25,3646,2570,916,1168,480,409,1219,1209,1721,684,529,22,578,377,10,474,201834,5565,44212,2350,19240,1247,36797,1380,14657,621,17427,484,20305,827,23352,1186,30625,1690,58273,1378,19146,640,1293,30,20080,829,9731,342,2621,23,3702,163
59,2022-04-26,2622,951,1280,762,380,284,1111,1083,1701,726,368,27,258,289,12,455,204456,5161,45163,2059,20520,1184,37559,1260,15037,589,17711,451,21416,880,24435,1236,32326,1796,58999,1268,19514,590,1320,33,20338,819,10020,329,2633,16,4157,217
60,2022-04-27,2571,1405,1076,401,198,288,1056,501,1082,287,283,33,181,205,3,194,207027,4912,46568,1822,21596,1180,37960,1118,15235,515,17999,414,22472,913,24936,1025,33408,1834,59286,1072,19797,541,1353,35,20519,752,10225,326,2636,12,4351,236
61,2022-04-28,2116,1312,1048,1096,400,157,972,746,982,373,398,21,171,137,4,37,209143,4552,47880,1763,22644,1035,39056,1090,15635,501,18156,367,23444,926,25682,1054,34390,1835,59659,759,20195,487,1374,34,20690,706,10362,291,2640,8,4388,225
62,2022-04-29,1939,1157,1177,438,323,118,1008,751,1093,380,255,18,124,121,25,269,211082,3717,49037,1559,23821,1091,39494,982,15958,456,18274,314,24452,972,26433,968,35483,1708,60039,640,20450,453,1392,33,20814,357,10483,257,2665,11,4657,247
63,2022-04-30,1603,1047,903,362,142,92,555,322,1045,381,221,11,86,109,3,307,212685,2905,50084,1436,24724,1153,39856,789,16100,380,18366,260,25007,939,26755,832,36528,1446,60420,574,20671,379,1403,29,20900,259,10592,212,2668,9,4964,262
64,2022-05-01,1538,987,666,406,210,88,658,439,910,362,254,12,92,94,12,76,214223,2291,51071,1347,25390,1009,40262,662,16310,305,18454,205,25665,940,27194,722,37438,1219,60782,456,20925,330,1415,21,20992,213,10686,190,2680,10,5040,259
65,2022-05-02,1148,960,601,379,147,79,353,359,622,266,276,7,67,91,10,135,215371,1934,52031,1117,25991,964,40641,549,16457,257,18533,158,26018,816,27553,600,38060,1062,61048,396,21201,294,1422,18,21059,140,10777,149,2690,10,5175,210
