,date,daily_cases,acc_cases,cases_7dma
0,2022-03-27,16,16,10
1,2022-03-28,30,46,14
2,2022-03-29,19,65,16
3,2022-03-30,56,121,24
4,2022-03-31,63,184,33
5,2022-04-01,105,289,45
6,2022-04-02,136,425,61
7,2022-04-03,98,523,72
8,2022-04-04,151,674,90
9,2022-04-05,164,838,110
10,2022-04-06,236,1074,136
11,2022-04-07,249,1323,163
12,2022-04-08,252,1575,184
13,2022-04-09,220,1795,196
14,2022-04-10,305,2100,225
15,2022-04-11,293,2393,246
16,2022-04-12,453,2846,287
17,2022-04-13,565,3411,334
18,2022-04-14,534,3945,375
19,2022-04-15,684,4629,436
20,2022-04-16,746,5375,511
21,2022-04-17,869,6244,592
22,2022-04-18,1005,7249,694
23,2022-04-19,1364,8613,824
24,2022-04-20,1837,10450,1006
25,2022-04-21,2310,12760,1259
26,2022-04-22,2564,15324,1528
27,2022-04-23,3015,18339,1852
28,2022-04-24,3430,21769,2218
29,2022-04-25,4168,25937,2670
30,2022-04-26,5620,31557,3278
31,2022-04-27,7491,39048,4085
32,2022-04-28,7442,46490,4819
33,2022-04-29,9662,56152,5833
34,2022-04-30,10855,67007,6953
35,2022-05-01,11576,78583,8116
36,2022-05-02,14154,92737,9543
37,2022-05-03,16708,109445,11127
38,2022-05-04,17579,127024,12568
39,2022-05-05,21250,148274,14541
40,2022-05-06,26042,174316,16881
41,2022-05-07,27699,202015,19287
42,2022-05-08,22909,224924,20906
43,2022-05-09,21898,246822,22012
44,2022-05-10,37391,284213,24967
45,2022-05-11,36953,321166,27735
46,2022-05-12,36424,357590,29902
47,2022-05-13,33218,390808,30927
48,2022-05-14,37008,427816,32257
49,2022-05-15,31337,459153,33461
50,2022-05-16,30115,489268,34635
51,2022-05-17,41816,531084,35267
52,2022-05-18,40253,571337,35739
53,2022-05-19,36840,608177,35798
54,2022-05-20,35834,644011,36172
55,2022-05-21,32246,676257,35492
56,2022-05-22,24345,700602,34493
57,2022-05-23,27130,727732,34066
58,2022-05-24,32404,760136,32722
59,2022-05-25,28450,788586,31036
60,2022-05-26,31036,819622,30206
61,2022-05-27,25588,845210,28743
62,2022-05-28,23539,868749,27499
63,2022-05-29,17447,886196,26513
64,2022-05-30,22790,908986,25893
65,2022-05-31,23712,932698,24652
66,2022-06-01,20343,953041,23494
67,2022-06-02,19134,972175,21793
68,2022-06-03,16068,988243,20433
