date	local_confirmed_within_quarantine	local_confirmed_outside_quarantine	local_confirmed_previously_reported_as_asymptomatic	deceased	local_asymptomatic_within_quarantine	local_asymptomatic_outside_quarantine	imported_confirmed	imported_asymptomatic	local_hospitalized	local_severe	local_critical	suspected	pudong_net_new	huangpu_net_new	jingan_net_new	xuhui_net_new	changning_net_new	putuo_net_new	hongkou_net_new	yangpu_net_new	baoshan_net_new	minhang_net_new	jiading_net_new	jinshan_net_new	songjiang_net_new	qingpu_net_new	fengxian_net_new	chongming_net_new
2022-02-26	0	0	0	0	1	0	43	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-27	0	0	0	0	1	0	45	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-28	0	0	0	0	3	0	40	12	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-01	0	1	0	0	1	0	37	17	1	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2022-03-02	3	0	0	0	5	0	39	19	4	0	0	5	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0
2022-03-03	0	2	0	0	11	3	43	21	6	0	0	4	0	0	0	0	0	9	0	0	2	1	0	0	4	0	0	0
2022-03-04	3	0	0	0	15	1	24	10	9	0	0	5	0	1	0	0	0	1	0	0	1	1	7	0	6	2	0	0
2022-03-05	0	0	0	0	22	6	25	10	9	0	0	2	2	1	0	3	0	1	0	0	2	6	4	0	7	1	1	0
2022-03-06	0	3	0	0	44	1	32	16	12	0	0	4	3	1	1	4	0	5	0	0	6	7	12	0	7	0	2	0
2022-03-07	4	0	0	0	51	0	36	51	16	0	0	5	2	0	0	19	0	1	0	1	5	10	13	1	3	0	0	0
2022-03-08	2	1	0	0	62	0	26	10	19	0	0	15	3	0	2	9	1	2	0	0	11	12	8	0	14	3	0	0
2022-03-09	3	1	0	0	64	12	42	16	23	0	0	10	10	2	4	6	1	1	2	2	2	24	16	0	9	0	1	0
2022-03-10	11	0	0	0	61	3	32	10	34	0	0	3	10	1	2	6	1	4	6	0	11	15	4	1	9	5	0	0
2022-03-11	4	1	0	0	57	21	22	9	39	0	0	5	11	3	3	10	1	0	3	0	8	21	11	4	5	2	1	0
2022-03-12	1	0	0	0	60	4	13	1	40	0	0	0	35	3	1	1	2	1	0	0	3	11	3	4	1	0	0	0
2022-03-13	30	9	2	0	90	38	16	2	81	0	0	1	41	12	9	18	2	6	4	3	3	30	19	6	8	4	2	0
2022-03-14	5	4	0	0	102	28	12	3	90	0	0	2	23	23	6	12	1	0	4	1	2	26	24	4	10	0	3	0
2022-03-15	4	1	0	0	135	62	10	1	95	0	0	1	42	12	10	24	4	9	6	2	11	31	21	8	10	7	5	0
