日期,浦东,黄浦,静安,徐汇,长宁,普陀,虹口,杨浦,宝山,闵行,嘉定,金山,松江,青浦,奉贤,崇明
2022/2/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/3/1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2022/3/2,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0
2022/3/3,0,0,0,0,0,9,0,0,2,1,0,0,4,0,0,0
2022/3/4,0,1,0,0,0,1,0,0,1,1,7,0,6,2,0,0
2022/3/5,2,1,0,3,0,1,0,0,2,6,4,0,7,1,1,0
2022/3/6,3,1,1,4,0,5,0,0,6,7,12,0,7,0,2,0
2022/3/7,2,0,0,19,0,1,0,1,5,10,13,1,3,0,0,0
2022/3/8,3,0,2,9,1,2,0,0,11,12,8,0,14,3,0,0
2022/3/9,10,2,4,6,1,1,2,2,2,24,16,0,9,0,1,0
2022/3/10,10,1,2,6,1,4,6,0,11,15,4,1,9,5,0,0
2022/3/11,11,3,3,10,1,0,3,0,8,21,11,4,5,2,1,0
2022/3/12,35,3,1,1,2,1,0,0,3,11,3,4,1,0,0,0
2022/3/13,41,12,9,18,2,6,4,3,3,29,19,5,8,4,2,0
2022/3/14,23,23,6,12,1,0,4,1,2,26,24,4,10,0,3,0
2022/3/15,42,12,10,24,4,9,6,2,11,31,21,8,10,7,5,0
2022/3/16,43,9,3,7,4,4,10,2,11,16,40,0,4,1,2,0
2022/3/17,36,19,4,35,1,7,7,2,14,83,35,1,10,1,2,3
2022/3/18,66,15,13,40,7,22,19,8,27,60,44,17,13,16,7,0
2022/3/19,135,37,15,60,12,25,7,14,17,45,77,3,16,5,6,23
2022/3/20,220,42,32,47,13,17,12,8,13,265,40,11,9,4,13,12
2022/3/21,170,48,45,133,26,32,23,10,66,120,102,16,38,5,22,40
2022/3/22,237,59,28,86,20,21,13,3,16,306,111,3,31,20,8,19
2022/3/23,217,20,48,108,11,34,26,11,69,254,69,5,34,10,13,54
2022/3/24,193,102,71,167,59,38,29,21,87,489,130,12,92,13,24,82
2022/3/25,1914,23,2,2,4,8,4,11,4,205,18,1,14,13,0,41
2022/3/26,325,159,108,332,29,69,49,24,153,970,242,4,82,20,85,27
2022/3/27,1424,57,69,280,46,71,27,35,94,616,252,14,190,43,45,237
2022/3/28,2502,282,96,91,115,81,6,49,312,362,209,19,93,56,115,68
2022/3/29,2184,112,179,1084,36,111,73,98,360,981,251,26,234,84,95,56
2022/3/30,2200,363,100,399,124,146,84,99,507,778,159,33,247,76,127,195
2022/3/31,2404,123,162,222,257,16,125,172,17,383,53,42,189,97,177,43
2022/4/1,2597,250,189,629,38,248,60,134,45,1028,201,50,507,87,162,84
2022/4/2,2047,655,324,1028,96,385,339,272,474,806,609,61,569,224,156,108
2022/4/3,3659,826,340,491,105,325,187,372,453,912,419,102,260,219,121,144
2022/4/4,6990,983,60,1230,39,259,608,225,269,1380,247,52,569,320,70,49
2022/4/5,8048,660,316,922,91,488,410,625,554,2931,485,82,796,400,153,76
2022/4/6,8438,1050,542,1103,358,1036,670,633,662,2407,1407,79,783,469,267,63
2022/4/7,8985,1374,366,2039,836,953,576,580,412,2222,916,57,742,491,90,260
2022/4/8,7254,2566,663,1592,607,1083,364,694,2766,2813,1406,47,756,334,88,171
2022/4/9,11068,539,598,1136,837,650,365,1056,2231,4527,365,47,491,551,114,177
2022/4/10,6707,1774,606,3151,426,999,1278,1843,1824,3146,1382,58,1827,880,85,54
2022/4/11,8180,2183,530,1709,371,1836,1361,1384,936,2969,190,32,681,323,60,51
2022/4/12,11045,1802,1052,1106,1133,1168,931,1159,295,4239,964,39,710,522,33,86
2022/4/13,15025,1386,220,1490,957,471,1486,1185,649,2853,705,34,647,237,83,63
2022/4/14,11500,2005,266,1100,998,264,930,815,413,2376,607,28,761,304,33,58
2022/4/15,10246,1372,431,1351,482,424,1127,1117,1217,1641,729,31,773,534,106,88
2022/4/16,9839,1553,1134,1530,700,1329,1027,858,1285,1762,641,11,408,301,45,43
2022/4/17,7696,1884,836,1339,739,733,948,877,1434,2326,370,22,899,367,20,52
2022/4/18,8055,3313,1004,538,462,369,926,469,830,1042,580,7,628,211,12,22
2022/4/19,5256,2892,1713,1602,592,496,725,694,953,1380,695,7,323,381,56,70
2022/4/20,4155,3027,1078,1337,706,533,818,1959,811,1634,615,11,632,168,30,63
2022/4/21,4627,1702,2062,1212,494,485,883,541,972,2563,776,18,493,379,26,110
2022/4/22,7597,2323,778,1117,561,461,369,1344,1919,1121,484,26,2562,355,6,107
2022/4/23,6954,1853,467,1708,625,460,757,1267,2882,817,731,44,769,422,14,206
2022/4/24,5495,1471,1644,1194,727,467,645,1195,2486,1143,595,68,286,245,7,95
2022/4/25,3380,2469,816,995,426,400,1168,1174,1656,651,515,22,515,375,8,474
2022/4/26,2499,674,1166,620,341,203,1086,1060,1426,703,302,26,229,267,11,443 
