日期	区县	诊断	来源口径	计数
2022-03-26	浦东	确诊	闭环	0
2022-03-26	浦东	确诊	社会面	1
2022-03-26	浦东	确诊	转诊	0
2022-03-26	浦东	无症状	闭环	267
2022-03-26	浦东	无症状	社会面	55
2022-03-26	黄浦	确诊	闭环	0
2022-03-26	黄浦	确诊	社会面	0
2022-03-26	黄浦	确诊	转诊	0
2022-03-26	黄浦	无症状	闭环	144
2022-03-26	黄浦	无症状	社会面	16
2022-03-26	静安	确诊	闭环	1
2022-03-26	静安	确诊	社会面	2
2022-03-26	静安	确诊	转诊	0
2022-03-26	静安	无症状	闭环	99
2022-03-26	静安	无症状	社会面	6
2022-03-26	徐汇	确诊	闭环	1
2022-03-26	徐汇	确诊	社会面	4
2022-03-26	徐汇	确诊	转诊	0
2022-03-26	徐汇	无症状	闭环	291
2022-03-26	徐汇	无症状	社会面	35
2022-03-26	长宁	确诊	闭环	0
2022-03-26	长宁	确诊	社会面	2
2022-03-26	长宁	确诊	转诊	0
2022-03-26	长宁	无症状	闭环	20
2022-03-26	长宁	无症状	社会面	7
2022-03-26	普陀	确诊	闭环	0
2022-03-26	普陀	确诊	社会面	1
2022-03-26	普陀	确诊	转诊	0
2022-03-26	普陀	无症状	闭环	53
2022-03-26	普陀	无症状	社会面	15
2022-03-26	虹口	确诊	闭环	1
2022-03-26	虹口	确诊	社会面	0
2022-03-26	虹口	确诊	转诊	0
2022-03-26	虹口	无症状	闭环	36
2022-03-26	虹口	无症状	社会面	13
2022-03-26	杨浦	确诊	闭环	1
2022-03-26	杨浦	确诊	社会面	1
2022-03-26	杨浦	确诊	转诊	0
2022-03-26	杨浦	无症状	闭环	13
2022-03-26	杨浦	无症状	社会面	8
2022-03-26	宝山	确诊	闭环	1
2022-03-26	宝山	确诊	社会面	5
2022-03-26	宝山	确诊	转诊	0
2022-03-26	宝山	无症状	闭环	128
2022-03-26	宝山	无症状	社会面	19
2022-03-26	闵行	确诊	闭环	14
2022-03-26	闵行	确诊	社会面	1
2022-03-26	闵行	确诊	转诊	0
2022-03-26	闵行	无症状	闭环	885
2022-03-26	闵行	无症状	社会面	72
2022-03-26	嘉定	确诊	闭环	8
2022-03-26	嘉定	确诊	社会面	1
2022-03-26	嘉定	确诊	转诊	0
2022-03-26	嘉定	无症状	闭环	226
2022-03-26	嘉定	无症状	社会面	7
2022-03-26	金山	确诊	闭环	0
2022-03-26	金山	确诊	社会面	0
2022-03-26	金山	确诊	转诊	0
2022-03-26	金山	无症状	闭环	4
2022-03-26	金山	无症状	社会面	0
2022-03-26	松江	确诊	闭环	0
2022-03-26	松江	确诊	社会面	0
2022-03-26	松江	确诊	转诊	0
2022-03-26	松江	无症状	闭环	70
2022-03-26	松江	无症状	社会面	9
2022-03-26	青浦	确诊	闭环	0
2022-03-26	青浦	确诊	社会面	0
2022-03-26	青浦	确诊	转诊	0
2022-03-26	青浦	无症状	闭环	20
2022-03-26	青浦	无症状	社会面	2
2022-03-26	奉贤	确诊	闭环	0
2022-03-26	奉贤	确诊	社会面	0
2022-03-26	奉贤	确诊	转诊	0
2022-03-26	奉贤	无症状	闭环	81
2022-03-26	奉贤	无症状	社会面	3
2022-03-26	崇明	确诊	闭环	0
2022-03-26	崇明	确诊	社会面	0
2022-03-26	崇明	确诊	转诊	0
2022-03-26	崇明	无症状	闭环	26
2022-03-26	崇明	无症状	社会面	1
2022-03-27	浦东	确诊	闭环	2
2022-03-27	浦东	确诊	社会面	2
2022-03-27	浦东	确诊	转诊	0
2022-03-27	浦东	无症状	闭环	1003
2022-03-27	浦东	无症状	社会面	422
2022-03-27	黄浦	确诊	闭环	0
2022-03-27	黄浦	确诊	社会面	1
2022-03-27	黄浦	确诊	转诊	0
2022-03-27	黄浦	无症状	闭环	49
2022-03-27	黄浦	无症状	社会面	6
2022-03-27	静安	确诊	闭环	0
2022-03-27	静安	确诊	社会面	5
2022-03-27	静安	确诊	转诊	0
2022-03-27	静安	无症状	闭环	61
2022-03-27	静安	无症状	社会面	4
2022-03-27	徐汇	确诊	闭环	0
2022-03-27	徐汇	确诊	社会面	6
2022-03-27	徐汇	确诊	转诊	0
2022-03-27	徐汇	无症状	闭环	218
2022-03-27	徐汇	无症状	社会面	53
2022-03-27	长宁	确诊	闭环	0
2022-03-27	长宁	确诊	社会面	0
2022-03-27	长宁	确诊	转诊	0
2022-03-27	长宁	无症状	闭环	41
2022-03-27	长宁	无症状	社会面	4
2022-03-27	普陀	确诊	闭环	0
2022-03-27	普陀	确诊	社会面	4
2022-03-27	普陀	确诊	转诊	0
2022-03-27	普陀	无症状	闭环	49
2022-03-27	普陀	无症状	社会面	17
2022-03-27	虹口	确诊	闭环	0
2022-03-27	虹口	确诊	社会面	1
2022-03-27	虹口	确诊	转诊	0
2022-03-27	虹口	无症状	闭环	22
2022-03-27	虹口	无症状	社会面	4
2022-03-27	杨浦	确诊	闭环	0
2022-03-27	杨浦	确诊	社会面	0
2022-03-27	杨浦	确诊	转诊	0
2022-03-27	杨浦	无症状	闭环	26
2022-03-27	杨浦	无症状	社会面	9
2022-03-27	宝山	确诊	闭环	0
2022-03-27	宝山	确诊	社会面	5
2022-03-27	宝山	确诊	转诊	0
2022-03-27	宝山	无症状	闭环	74
2022-03-27	宝山	无症状	社会面	15
2022-03-27	闵行	确诊	闭环	15
2022-03-27	闵行	确诊	社会面	5
2022-03-27	闵行	确诊	转诊	0
2022-03-27	闵行	无症状	闭环	559
2022-03-27	闵行	无症状	社会面	40
2022-03-27	嘉定	确诊	闭环	0
2022-03-27	嘉定	确诊	社会面	3
2022-03-27	嘉定	确诊	转诊	0
2022-03-27	嘉定	无症状	闭环	236
2022-03-27	嘉定	无症状	社会面	12
